#HJD	Phase	Primary Vrad	Primary Vrad err	Primary (O-C)	Secondary Vrad	Secondary Vrad err	Secondary (O-C)	Observatory
55367.7426	0.193	-116.90	1.15	0.43	172.96	8.56	-8.13	KPNO   
55367.8219	0.253	-128.10	1.18	-3.98	192.63	8.61	-1.53	KPNO   
55401.8241	0.769	89.29	6.66	-2.19	-249.49	29.72	-25.74	DAO    
55401.8949	0.822	84.40	5.77	3.10	-205.00	26.00	-1.06	DAO    
55402.8665	0.551	14.81	6.01	-3.58	-121.31	27.28	-38.99	DAO    
55403.8122	0.261	-126.75	7.52	-2.87	191.28	33.54	-2.40	DAO    
55403.8575	0.295	-121.90	7.08	-2.07	213.61	31.76	27.83	DAO    
55403.9098	0.334	-104.07	7.13	5.24	166.85	31.92	1.52	DAO    
55404.9541	0.118	-89.07	6.94	-0.07	120.45	31.03	-5.81	DAO    
55405.8040	0.756	88.18	6.68	-4.01	-234.75	29.84	-9.60	DAO    
55406.7954	0.500	-17.43	6.30	-1.33	-10.42	28.46	5.05	DAO    
55431.7022	0.191	-110.96	1.93	5.74	176.69	10.71	-3.18	KPNO   
55431.7559	0.231	-119.18	1.52	4.18	194.72	9.62	1.99	KPNO   
55463.8754	0.334	-99.69	3.43	9.56	228.02	16.43	0.0	Lowell 
55463.9425	0.385	-84.16	1.90	3.42	176.02	11.11 	0.0	Lowell 
55716.9386	0.241	-137.19	2.98	-13.21	181.72	13.91	-12.19	Lowell 
55718.9411	0.744	96.91	2.54	4.72	-217.14	12.58	8.02	Lowell 
55720.9233	0.232	-126.27	3.76	-2.85	200.67	16.93	7.83	Lowell 
55730.8765	0.701	88.52	1.51	1.36	-197.68	9.33	17.79	KPNO   
55734.8575	0.688	84.62	1.56	0.37	-206.75	9.39	3.11	KPNO   
55754.9232	0.746	144.74	6.74	52.51	-214.71	29.76	10.53	Lowell 
